Wall time,Step,Value
1751754852.6534638,4000,1000.0
1751754895.0674522,8000,1000.0
1751754947.2781272,12000,1000.0
1751755001.2230961,16000,1000.0
1751755055.2590935,20000,1000.0
1751755109.1538768,24000,1000.0
1751755163.452708,28000,1000.0
1751755217.0073922,32000,1000.0
1751755270.6574674,36000,1000.0
1751755324.6093104,40000,1000.0
1751755378.9675224,44000,1000.0
1751755433.9020934,48000,1000.0
1751755489.4409463,52000,1000.0
1751755546.1639295,56000,1000.0
1751755603.181929,60000,1000.0
1751755660.9957192,64000,1000.0
1751755719.7042985,68000,1000.0
1751755779.644099,72000,1000.0
1751755840.26505,76000,1000.0
1751755901.0738115,80000,1000.0
1751755962.0601199,84000,1000.0
1751756022.9270527,88000,1000.0
1751756084.3350003,92000,1000.0
1751756145.8124504,96000,1000.0
1751756207.5165017,100000,1000.0
1751756269.467863,104000,1000.0
1751756331.570147,108000,1000.0
1751756393.827071,112000,1000.0
1751756456.1826327,116000,1000.0
1751756518.4555824,120000,1000.0
1751756580.6859963,124000,1000.0
1751756642.883694,128000,1000.0
1751756705.4348402,132000,1000.0
1751756768.5533555,136000,1000.0
1751756831.5729017,140000,1000.0
1751756893.9943752,144000,1000.0
1751756956.9688714,148000,1000.0
1751757019.551448,152000,1000.0
1751757082.271738,156000,1000.0
1751757145.225707,160000,1000.0
1751757208.0215755,164000,1000.0
1751757270.3055897,168000,1000.0
1751757333.0244298,172000,1000.0
1751757395.579504,176000,1000.0
1751757458.0082846,180000,1000.0
1751757521.1246583,184000,1000.0
1751757584.3917072,188000,1000.0
1751757647.5869558,192000,1000.0
1751757710.4675744,196000,1000.0
1751757773.0374885,200000,1000.0
1751757835.9986033,204000,1000.0
1751757898.435507,208000,1000.0
1751757961.7588649,212000,1000.0
1751758024.2584028,216000,1000.0
1751758087.1527326,220000,1000.0
1751758149.8759072,224000,1000.0
1751758212.9446836,228000,1000.0
1751758276.3602107,232000,1000.0
1751758340.425968,236000,1000.0
1751758403.1989486,240000,1000.0
1751758465.6040983,244000,1000.0
1751758528.4501073,248000,1000.0
1751758590.7383714,252000,1000.0
1751758653.1033063,256000,1000.0
1751758715.4165223,260000,1000.0
1751758778.0827775,264000,1000.0
1751758840.467639,268000,1000.0
1751758902.8902838,272000,1000.0
1751758965.4559686,276000,1000.0
1751759027.8121157,280000,1000.0
1751759090.312786,284000,1000.0
1751759153.0195065,288000,1000.0
1751759215.4078803,292000,1000.0
1751759277.7415395,296000,1000.0
1751759340.2624035,300000,1000.0
1751759403.0347219,304000,1000.0
1751759465.5114164,308000,1000.0
1751759528.1901822,312000,1000.0
1751759591.1208591,316000,1000.0
1751759654.370051,320000,1000.0
1751759717.9712255,324000,1000.0
1751759781.227817,328000,1000.0
1751759844.5607738,332000,1000.0
1751759908.1066656,336000,1000.0
1751759971.1239383,340000,1000.0
1751760034.378742,344000,1000.0
1751760097.7005384,348000,1000.0
1751760160.1463099,352000,1000.0
1751760222.8310604,356000,1000.0
1751760285.3647137,360000,1000.0
1751760347.8232038,364000,1000.0
1751760411.35119,368000,1000.0
1751760474.4148173,372000,1000.0
1751760536.930635,376000,1000.0
1751760599.23137,380000,1000.0
1751760661.6374314,384000,1000.0
1751760724.2313704,388000,1000.0
1751760786.9956584,392000,1000.0
1751760849.31078,396000,1000.0
1751760911.7624755,400000,1000.0
1751760974.7251503,404000,1000.0
1751761037.329369,408000,1000.0
1751761099.8735132,412000,1000.0
1751761162.3626966,416000,1000.0
1751761225.0207899,420000,1000.0
1751761287.9576306,424000,1000.0
1751761351.0413198,428000,1000.0
1751761413.7532165,432000,1000.0
1751761477.006798,436000,1000.0
1751761540.0788405,440000,1000.0
1751761602.7811768,444000,1000.0
1751761665.9454331,448000,1000.0
1751761728.3678083,452000,1000.0
1751761791.3511941,456000,1000.0
1751761854.4021864,460000,1000.0
1751761917.6734607,464000,1000.0
1751761980.3132267,468000,1000.0
1751762042.6353645,472000,1000.0
1751762104.9855359,476000,1000.0
1751762167.4809306,480000,1000.0
1751762230.3322144,484000,1000.0
1751762293.1773787,488000,1000.0
1751762355.58215,492000,1000.0
1751762418.7059476,496000,1000.0
1751762481.0511124,500000,1000.0
1751762543.4628599,504000,1000.0
1751762606.109828,508000,1000.0
1751762668.620832,512000,1000.0
1751762731.2276251,516000,1000.0
1751762793.8780751,520000,1000.0
1751762856.358963,524000,1000.0
1751762918.838462,528000,1000.0
1751762981.1093066,532000,1000.0
1751763043.8542566,536000,1000.0
1751763106.8113868,540000,1000.0
1751763169.8607764,544000,1000.0
1751763233.1365032,548000,1000.0
1751763296.1350577,552000,1000.0
